"","등록번호","조사기관","조사의뢰자","시작일","종료일"
"1",8687,"서던포스트","CBS",2022-01-14,2022-01-15
"2",8684,"리얼미터","오마이뉴스",2022-01-09,2022-01-14
"3",8678,"리서치뷰","UPI뉴스",2022-01-11,2022-01-13
"4",8675,"코리아리서치인터내셔널","MBC",2022-01-11,2022-01-12
"5",8674,"케이스탯리서치","전국지표조사(NBS)",2022-01-10,2022-01-12
"6",8660,"서던포스트","CBS",2022-01-07,2022-01-08
"7",8658,"코리아리서치인터내셔널","MBC",2022-01-07,2022-01-08
"8",8655,"리얼미터","오마이뉴스",2022-01-02,2022-01-07
"9",8649,"리서치뷰","UPI뉴스",2022-01-04,2022-01-06
"10",8646,"엠브레인","전국지표조사(NBS)",2022-01-03,2022-01-05
"11",8644,"한국리서치","KBS",2022-01-03,2022-01-04
"12",8632,"한국갤럽","머니투데이",2022-01-03,2022-01-04
