"","등록번호","조사기관","조사의뢰자","시작일","종료일"
"1",8649,"리서치뷰","UPI뉴스",2022-01-04,2022-01-06
"2",8646,"엠브레인","전국지표조사(NBS)",2022-01-03,2022-01-05
"3",8644,"한국리서치","KBS",2022-01-03,2022-01-04
"4",8632,"한국갤럽","머니투데이",2022-01-03,2022-01-04
"5",8611,"리처치앤리서치","동아일보",2021-12-30,2022-01-01
"6",8610,"엠브레인","중앙일보",2021-12-30,2021-12-31
"7",8603,"리얼미터","오마이뉴스",2021-12-26,2021-12-31
"8",8602,"리서치뷰","UPI뉴스",2021-12-28,2021-12-31
"9",8595,"에이스리서치","한국지방신문협회",2021-12-31,2022-01-01
"10",8594,"한국리서치","KBS",2021-12-29,2021-12-31
"11",8592,"넥스트리서치","SBS",2021-12-30,2021-12-31
"12",8591,"한국리서치","한국일보",2021-12-29,2021-12-30
"13",8590,"리처치앤리서치","세계일보",2021-12-27,2021-12-29
"14",8586,"서던포스트","CBS",2021-12-29,2021-12-30
"15",8585,"칸타코리아","조선일보",2021-12-28,2021-12-30
"16",8572,"코리아리서치인터내셔널","전국지표조사(NBS)",2021-12-27,2021-12-29
