"","등록번호","조사기관","조사의뢰자","시작일","종료일"
"1",9004,"글로벌리서치","JTBC",2022-02-19,2022-02-20
"2",8993,"리처치앤리서치","동아일보",2022-02-18,2022-02-19
"3",8992,"한국리서치","한국일보",2022-02-18,2022-02-19
"4",8991,"한국사회여론연구소(KSOI)","TBS",2022-02-18,2022-02-19
"5",8990,"PNR·피플네트웍스","뉴데일리",2022-02-18,2022-02-19
"6",8983,"칸타코리아","서울경제",2022-02-18,2022-02-19
"7",8982,"서던포스트","CBS",2022-02-18,2022-02-19
"8",8968,"리얼미터","오마이뉴스",2022-02-13,2022-02-18
"9",8967,"리서치뷰","리서치뷰",2022-02-15,2022-02-17
"10",8966,"한국갤럽","한국갤럽",2022-02-15,2022-02-17
"11",8963,"입소스","방송3사",2022-02-15,2022-02-16
"12",8962,"코리아리서치인터내셔널","전국지표조사(NBS)",2022-02-14,2022-02-16
"13",8937,"칸타코리아","조선일보",2022-02-12,2022-02-13
"14",8931,"서던포스트","CBS",2022-02-12,2022-02-12
"15",8927,"한국갤럽","한국갤럽",2022-02-08,2022-02-10
"16",8926,"리서치뷰","리서치뷰",2022-02-09,2022-02-10
"17",8916,"칸타코리아","서울경제",2022-02-08,2022-02-09
"18",8915,"엠브레인","전국지표조사(NBS)",2022-02-07,2022-02-09
"19",8900,"한국갤럽","머니투데이",2022-02-07,2022-02-08
"20",8898,"넥스트리서치","MBN/매일경제신문",2022-02-07,2022-02-08
