"","등록번호","조사기관","조사의뢰자","시작일","종료일"
"1",8702,"엠브레인","중앙일보",2022-01-15,2022-01-16
"2",8697,"칸타코리아","조선일보",2022-01-15,2022-01-16
"3",8693,"넥스트리서치","SBS",2022-01-15,2022-01-16
"4",8687,"서던포스트","CBS",2022-01-14,2022-01-15
"5",8684,"리얼미터","오마이뉴스",2022-01-09,2022-01-14
"6",8678,"리서치뷰","UPI뉴스",2022-01-11,2022-01-13
"7",8675,"코리아리서치인터내셔널","MBC",2022-01-11,2022-01-12
"8",8674,"케이스탯리서치","전국지표조사(NBS)",2022-01-10,2022-01-12
"9",8660,"서던포스트","CBS",2022-01-07,2022-01-08
"10",8658,"코리아리서치인터내셔널","MBC",2022-01-07,2022-01-08
"11",8649,"리서치뷰","UPI뉴스",2022-01-04,2022-01-06
"12",8646,"엠브레인","전국지표조사(NBS)",2022-01-03,2022-01-05
"13",8644,"한국리서치","KBS",2022-01-03,2022-01-04
"14",8632,"한국갤럽","머니투데이",2022-01-03,2022-01-04
