"","등록번호","조사기관","조사의뢰자","시작일","종료일"
"1",8786,"엠브레인","전국지표조사(NBS)",2022-01-24,2022-01-26
"2",8783,"리처치앤리서치","채널A",2022-01-23,2022-01-25
"3",8779,"넥스트리서치","세계일보",2022-01-24,2022-01-25
"4",8772,"엠브레인","문화일보",2022-01-24,2022-01-25
"5",8739,"입소스","한국경제신문",2022-01-20,2022-01-22
"6",8734,"서던포스트","CBS",2022-01-21,2022-01-22
"7",8730,"리얼미터","오마이뉴스",2022-01-16,2022-01-21
"8",8723,"리서치뷰","UPI뉴스",2022-01-18,2022-01-20
"9",8719,"케이스탯리서치","전국지표조사(NBS)",2022-01-17,2022-01-19
"10",8709,"한국갤럽","머니투데이",2022-01-17,2022-01-18
"11",8705,"엠브레인","news1",2022-01-16,2022-01-17
"12",8702,"엠브레인","중앙일보",2022-01-15,2022-01-16
"13",8697,"칸타코리아","조선일보",2022-01-15,2022-01-16
"14",8693,"넥스트리서치","SBS",2022-01-15,2022-01-16
"15",8687,"서던포스트","CBS",2022-01-14,2022-01-15
