"","등록번호","조사기관","조사의뢰자","시작일","종료일"
"1",8962,"코리아리서치인터내셔널","전국지표조사(NBS)",2022-02-14,2022-02-16
"2",8937,"칸타코리아","조선일보",2022-02-12,2022-02-13
"3",8931,"서던포스트","CBS",2022-02-12,2022-02-12
"4",8928,"리얼미터","오마이뉴스",2022-02-06,2022-02-11
"5",8927,"한국갤럽","한국갤럽",2022-02-08,2022-02-10
"6",8926,"리서치뷰","리서치뷰",2022-02-09,2022-02-10
"7",8916,"칸타코리아","서울경제",2022-02-08,2022-02-09
"8",8915,"엠브레인","전국지표조사(NBS)",2022-02-07,2022-02-09
"9",8900,"한국갤럽","머니투데이",2022-02-07,2022-02-08
"10",8898,"넥스트리서치","MBN/매일경제신문",2022-02-07,2022-02-08
"11",8872,"넥스트리서치","SBS",2022-02-05,2022-02-06
"12",8871,"리처치앤리서치","동아일보",2022-02-04,2022-02-05
"13",8868,"엠브레인","news1",2022-02-05,2022-02-06
"14",8864,"엠브레인","중앙일보",2022-02-04,2022-02-05
"15",8860,"칸타코리아","조선일보",2022-02-04,2022-02-05
"16",8848,"서던포스트","CBS",2022-02-04,2022-02-05
"17",8845,"케이스탯리서치","한겨례",2022-02-03,2022-02-04
"18",8844,"한국사회여론연구소(KSOI)","국민일보",2022-02-03,2022-02-04
