"","등록번호","조사기관","조사의뢰자","시작일","종료일"
"1",9041,"엠브레인","중앙일보",2022-02-22,2022-02-23
"2",9039,"케이스탯리서치","전국지표조사(NBS)",2022-02-21,2022-02-23
"3",9035,"리얼미터","오마이뉴스",2022-02-20,2022-02-23
"4",9025,"한국갤럽","머니투데이",2022-02-21,2022-02-22
"5",9020,"조원씨앤아이","스트레이트뉴스",2022-02-19,2022-02-20
"6",9004,"글로벌리서치","JTBC",2022-02-19,2022-02-20
"7",8993,"리처치앤리서치","동아일보",2022-02-18,2022-02-19
"8",8992,"한국리서치","한국일보",2022-02-18,2022-02-19
"9",8991,"한국사회여론연구소(KSOI)","TBS",2022-02-18,2022-02-19
"10",8990,"PNR·피플네트웍스","뉴데일리",2022-02-18,2022-02-19
"11",8983,"칸타코리아","서울경제",2022-02-18,2022-02-19
"12",8982,"서던포스트","CBS",2022-02-18,2022-02-19
"13",8968,"리얼미터","오마이뉴스",2022-02-13,2022-02-18
"14",8967,"리서치뷰","리서치뷰",2022-02-15,2022-02-17
"15",8966,"한국갤럽","한국갤럽",2022-02-15,2022-02-17
"16",8963,"입소스","방송3사",2022-02-15,2022-02-16
"17",8962,"코리아리서치인터내셔널","전국지표조사(NBS)",2022-02-14,2022-02-16
"18",8937,"칸타코리아","조선일보",2022-02-12,2022-02-13
"19",8931,"서던포스트","CBS",2022-02-12,2022-02-12
