"","등록번호","조사기관","조사의뢰자","시작일","종료일"
"1",9068,"리얼미터","더팩트",2022-02-26,2022-02-27
"2",9067,"리얼미터","오마이뉴스",2022-02-24,2022-02-27
"3",9065,"한국사회여론연구소(KSOI)","TBS",2022-02-25,2022-02-26
"4",9060,"한국사회여론연구소(KSOI)","TBS",2022-02-25,2022-02-26
"5",9056,"서던포스트","CBS",2022-02-26,2022-02-26
"6",9055,"한국갤럽","서울신문",2022-02-25,2022-02-26
"7",9054,"한국리서치","KBS",2022-02-24,2022-02-26
"8",9053,"엠브레인","news1",2022-02-25,2022-02-26
"9",9048,"리서치뷰","리서치뷰",2022-02-22,2022-02-24
"10",9047,"한국갤럽","한국갤럽",2022-02-22,2022-02-24
"11",9046,"칸타코리아","조선일보",2022-02-23,2022-02-24
"12",9041,"엠브레인","중앙일보",2022-02-22,2022-02-23
"13",9039,"케이스탯리서치","전국지표조사(NBS)",2022-02-21,2022-02-23
"14",9036,"코리아리서치인터내셔널","MBC",2022-02-22,2022-02-23
"15",9035,"리얼미터","오마이뉴스",2022-02-20,2022-02-23
"16",9025,"한국갤럽","머니투데이",2022-02-21,2022-02-22
"17",9020,"조원씨앤아이","스트레이트뉴스",2022-02-19,2022-02-20
"18",9004,"글로벌리서치","JTBC",2022-02-19,2022-02-20
"19",8993,"리처치앤리서치","동아일보",2022-02-18,2022-02-19
"20",8992,"한국리서치","한국일보",2022-02-18,2022-02-19
"21",8991,"한국사회여론연구소(KSOI)","TBS",2022-02-18,2022-02-19
"22",8990,"PNR·피플네트웍스","뉴데일리",2022-02-18,2022-02-19
"23",8983,"칸타코리아","서울경제",2022-02-18,2022-02-19
"24",8982,"서던포스트","CBS",2022-02-18,2022-02-19
"25",8967,"리서치뷰","리서치뷰",2022-02-15,2022-02-17
"26",8966,"한국갤럽","한국갤럽",2022-02-15,2022-02-17
"27",8963,"입소스","방송3사",2022-02-15,2022-02-16
"28",8962,"코리아리서치인터내셔널","전국지표조사(NBS)",2022-02-14,2022-02-16
