"","등록번호","조사기관","조사의뢰자","시작일","종료일"
"1",8611,"리처치앤리서치","동아일보",2021-12-30,2022-01-01
"2",8610,"엠브레인","중앙일보",2021-12-30,2021-12-31
"3",8603,"리얼미터","오마이뉴스",2021-12-26,2021-12-31
"4",8602,"리서치뷰","UPI뉴스",2021-12-28,2021-12-31
"5",8595,"에이스리서치","한국지방신문협회",2021-12-31,2022-01-01
"6",8594,"한국리서치","KBS",2021-12-29,2021-12-31
"7",8592,"넥스트리서치","SBS",2021-12-30,2021-12-31
"8",8591,"한국리서치","한국일보",2021-12-29,2021-12-30
"9",8590,"리처치앤리서치","세계일보",2021-12-27,2021-12-29
"10",8586,"서던포스트","CBS",2021-12-29,2021-12-30
"11",8585,"칸타코리아","조선일보",2021-12-28,2021-12-30
"12",8572,"코리아리서치인터내셔널","전국지표조사(NBS)",2021-12-27,2021-12-29
"13",8562,"엠브레인","문화일보",2021-12-26,2021-12-27
"14",8544,"입소스","한국경제신문",2021-12-23,2021-12-24
"15",8543,"서던포스트","CBS",2021-12-24,2021-12-25
"16",8529,"한국리서치","전국지표조사(NBS)",2021-12-20,2021-12-22
"17",8521,"한국갤럽","머니투데이",2021-12-20,2021-12-21
