"","등록번호","조사기관","조사의뢰자","시작일","종료일"
"1",8739,"입소스","한국경제신문",2022-01-20,2022-01-22
"2",8734,"서던포스트","CBS",2022-01-21,2022-01-22
"3",8730,"리얼미터","오마이뉴스",2022-01-16,2022-01-21
"4",8723,"리서치뷰","UPI뉴스",2022-01-18,2022-01-20
"5",8719,"케이스탯리서치","전국지표조사(NBS)",2022-01-17,2022-01-19
"6",8709,"한국갤럽","머니투데이",2022-01-17,2022-01-18
"7",8705,"엠브레인","news1",2022-01-16,2022-01-17
"8",8702,"엠브레인","중앙일보",2022-01-15,2022-01-16
"9",8697,"칸타코리아","조선일보",2022-01-15,2022-01-16
"10",8693,"넥스트리서치","SBS",2022-01-15,2022-01-16
"11",8687,"서던포스트","CBS",2022-01-14,2022-01-15
"12",8678,"리서치뷰","UPI뉴스",2022-01-11,2022-01-13
"13",8675,"코리아리서치인터내셔널","MBC",2022-01-11,2022-01-12
"14",8674,"케이스탯리서치","전국지표조사(NBS)",2022-01-10,2022-01-12
