"","등록번호","조사기관","조사의뢰자","시작일","종료일"
"1",8991,"한국사회여론연구소(KSOI)","TBS",2022-02-18,2022-02-19
"2",8982,"서던포스트","CBS",2022-02-18,2022-02-19
"3",8968,"리얼미터","오마이뉴스",2022-02-13,2022-02-18
"4",8967,"리서치뷰","리서치뷰",2022-02-15,2022-02-17
"5",8966,"한국갤럽","한국갤럽",2022-02-15,2022-02-17
"6",8963,"입소스","방송3사",2022-02-15,2022-02-16
"7",8962,"코리아리서치인터내셔널","전국지표조사(NBS)",2022-02-14,2022-02-16
"8",8937,"칸타코리아","조선일보",2022-02-12,2022-02-13
"9",8931,"서던포스트","CBS",2022-02-12,2022-02-12
"10",8928,"리얼미터","오마이뉴스",2022-02-06,2022-02-11
"11",8927,"한국갤럽","한국갤럽",2022-02-08,2022-02-10
"12",8926,"리서치뷰","리서치뷰",2022-02-09,2022-02-10
