"","등록번호","조사기관","조사의뢰자","시작일","종료일"
"1",9124,"한국리서치","방송3사",2022-03-01,2022-03-02
"2",9118,"리서치뷰","리서치뷰",2022-03-01,2022-03-02
"3",9115,"한국리서치","전국지표조사(NBS)",2022-02-28,2022-03-02
"4",9111,"서던포스트","CBS",2022-03-02,2022-03-02
"5",9108,"리얼미터","오마이뉴스",2022-02-28,2022-03-02
"6",9100,"글로벌리서치","JTBC",2022-02-28,2022-03-01
"7",9095,"한국사회여론연구소(KSOI)","국민일보",2022-02-28,2022-03-01
"8",9090,"PNR·피플네트웍스","뉴데일리",2022-02-26,2022-03-01
"9",9086,"아시아리서치앤컨설팅","자유일보",2022-02-28,2022-02-28
"10",9083,"칸타코리아","서울경제",2022-02-27,2022-02-28
"11",9076,"에이스리서치","한국지방신문협회",2022-02-27,2022-02-28
"12",9072,"여론조사공정","데일리안",2022-02-25,2022-02-27
"13",9068,"리얼미터","더팩트",2022-02-26,2022-02-27
"14",9067,"리얼미터","오마이뉴스",2022-02-24,2022-02-27
"15",9065,"한국사회여론연구소(KSOI)","TBS",2022-02-25,2022-02-26
"16",9060,"한국사회여론연구소(KSOI)","TBS",2022-02-25,2022-02-26
"17",9056,"서던포스트","CBS",2022-02-26,2022-02-26
"18",9055,"한국갤럽","서울신문",2022-02-25,2022-02-26
"19",9054,"한국리서치","KBS",2022-02-24,2022-02-26
"20",9053,"엠브레인","news1",2022-02-25,2022-02-26
"21",9048,"리서치뷰","리서치뷰",2022-02-22,2022-02-24
"22",9047,"한국갤럽","한국갤럽",2022-02-22,2022-02-24
"23",9046,"칸타코리아","조선일보",2022-02-23,2022-02-24
"24",9041,"엠브레인","중앙일보",2022-02-22,2022-02-23
"25",9039,"케이스탯리서치","전국지표조사(NBS)",2022-02-21,2022-02-23
"26",9036,"코리아리서치인터내셔널","MBC",2022-02-22,2022-02-23
"27",9035,"리얼미터","오마이뉴스",2022-02-20,2022-02-23
"28",9025,"한국갤럽","머니투데이",2022-02-21,2022-02-22
"29",9020,"조원씨앤아이","스트레이트뉴스",2022-02-19,2022-02-20
"30",9004,"글로벌리서치","JTBC",2022-02-19,2022-02-20
"31",8993,"리처치앤리서치","동아일보",2022-02-18,2022-02-19
"32",8992,"한국리서치","한국일보",2022-02-18,2022-02-19
"33",8991,"한국사회여론연구소(KSOI)","TBS",2022-02-18,2022-02-19
"34",8990,"PNR·피플네트웍스","뉴데일리",2022-02-18,2022-02-19
"35",8983,"칸타코리아","서울경제",2022-02-18,2022-02-19
"36",8982,"서던포스트","CBS",2022-02-18,2022-02-19
