"","등록번호","조사기관","조사의뢰자","시작일","종료일"
"1",9065,"한국사회여론연구소(KSOI)","TBS",2022-02-25,2022-02-26
"2",9060,"한국사회여론연구소(KSOI)","TBS",2022-02-25,2022-02-26
"3",9056,"서던포스트","CBS",2022-02-26,2022-02-26
"4",9053,"엠브레인","news1",2022-02-25,2022-02-26
"5",9048,"리서치뷰","리서치뷰",2022-02-22,2022-02-24
"6",9047,"한국갤럽","한국갤럽",2022-02-22,2022-02-24
"7",9046,"칸타코리아","조선일보",2022-02-23,2022-02-24
"8",9041,"엠브레인","중앙일보",2022-02-22,2022-02-23
"9",9039,"케이스탯리서치","전국지표조사(NBS)",2022-02-21,2022-02-23
"10",9036,"코리아리서치인터내셔널","MBC",2022-02-22,2022-02-23
"11",9035,"리얼미터","오마이뉴스",2022-02-20,2022-02-23
"12",9025,"한국갤럽","머니투데이",2022-02-21,2022-02-22
"13",9020,"조원씨앤아이","스트레이트뉴스",2022-02-19,2022-02-20
"14",9004,"글로벌리서치","JTBC",2022-02-19,2022-02-20
"15",8993,"리처치앤리서치","동아일보",2022-02-18,2022-02-19
"16",8992,"한국리서치","한국일보",2022-02-18,2022-02-19
"17",8991,"한국사회여론연구소(KSOI)","TBS",2022-02-18,2022-02-19
"18",8990,"PNR·피플네트웍스","뉴데일리",2022-02-18,2022-02-19
"19",8983,"칸타코리아","서울경제",2022-02-18,2022-02-19
"20",8982,"서던포스트","CBS",2022-02-18,2022-02-19
"21",8968,"리얼미터","오마이뉴스",2022-02-13,2022-02-18
"22",8967,"리서치뷰","리서치뷰",2022-02-15,2022-02-17
"23",8966,"한국갤럽","한국갤럽",2022-02-15,2022-02-17
