"","등록번호","조사기관","조사의뢰자","시작일","종료일"
"1",9100,"글로벌리서치","JTBC",2022-02-28,2022-03-01
"2",9090,"PNR·피플네트웍스","뉴데일리",2022-02-26,2022-03-01
"3",9086,"아시아리서치앤컨설팅","자유일보",2022-02-28,2022-02-28
"4",9083,"칸타코리아","서울경제",2022-02-27,2022-02-28
"5",9076,"에이스리서치","한국지방신문협회",2022-02-27,2022-02-28
"6",9072,"여론조사공정","데일리안",2022-02-25,2022-02-27
"7",9068,"리얼미터","더팩트",2022-02-26,2022-02-27
"8",9067,"리얼미터","오마이뉴스",2022-02-24,2022-02-27
"9",9065,"한국사회여론연구소(KSOI)","TBS",2022-02-25,2022-02-26
"10",9060,"한국사회여론연구소(KSOI)","TBS",2022-02-25,2022-02-26
"11",9056,"서던포스트","CBS",2022-02-26,2022-02-26
"12",9055,"한국갤럽","서울신문",2022-02-25,2022-02-26
"13",9054,"한국리서치","KBS",2022-02-24,2022-02-26
"14",9053,"엠브레인","news1",2022-02-25,2022-02-26
"15",9048,"리서치뷰","리서치뷰",2022-02-22,2022-02-24
"16",9047,"한국갤럽","한국갤럽",2022-02-22,2022-02-24
"17",9046,"칸타코리아","조선일보",2022-02-23,2022-02-24
"18",9041,"엠브레인","중앙일보",2022-02-22,2022-02-23
"19",9039,"케이스탯리서치","전국지표조사(NBS)",2022-02-21,2022-02-23
"20",9036,"코리아리서치인터내셔널","MBC",2022-02-22,2022-02-23
"21",9035,"리얼미터","오마이뉴스",2022-02-20,2022-02-23
"22",9025,"한국갤럽","머니투데이",2022-02-21,2022-02-22
"23",9020,"조원씨앤아이","스트레이트뉴스",2022-02-19,2022-02-20
"24",9004,"글로벌리서치","JTBC",2022-02-19,2022-02-20
