"","등록번호","조사기관","조사의뢰자","시작일","종료일"
"1",8982,NA,"CBS",2022-02-18,2022-02-19
"2",8968,"리얼미터","오마이뉴스",2022-02-13,2022-02-18
"3",8967,"리서치뷰","리서치뷰",2022-02-15,2022-02-17
"4",8966,"한국갤럽","한국갤럽",2022-02-15,2022-02-17
"5",8963,"입소스","방송3사",2022-02-15,2022-02-16
"6",8962,"코리아리서치인터내셔널","전국지표조사(NBS)",2022-02-14,2022-02-16
"7",8937,"칸타코리아","조선일보",2022-02-12,2022-02-13
"8",8931,"서던포스트","CBS",2022-02-12,2022-02-12
"9",8928,"리얼미터","오마이뉴스",2022-02-06,2022-02-11
"10",8927,"한국갤럽","한국갤럽",2022-02-08,2022-02-10
"11",8926,"리서치뷰","리서치뷰",2022-02-09,2022-02-10
"12",8916,"칸타코리아","서울경제",2022-02-08,2022-02-09
"13",8915,"엠브레인","전국지표조사(NBS)",2022-02-07,2022-02-09
"14",8900,"한국갤럽","머니투데이",2022-02-07,2022-02-08
"15",8898,"넥스트리서치","MBN/매일경제신문",2022-02-07,2022-02-08
