"","등록번호","조사기관","조사의뢰자","시작일","종료일"
"1",8915,"엠브레인","전국지표조사(NBS)",2022-02-07,2022-02-09
"2",8900,"한국갤럽","머니투데이",2022-02-07,2022-02-08
"3",8872,"넥스트리서치","SBS",2022-02-05,2022-02-06
"4",8871,"리처치앤리서치","동아일보",2022-02-04,2022-02-05
"5",8868,"엠브레인","news1",2022-02-05,2022-02-06
"6",8864,"엠브레인","중앙일보",2022-02-04,2022-02-05
"7",8860,"칸타코리아","조선일보",2022-02-04,2022-02-05
"8",8848,"서던포스트","CBS",2022-02-04,2022-02-05
"9",8845,"케이스탯리서치","한겨례",2022-02-03,2022-02-04
"10",8844,"한국사회여론연구소(KSOI)","국민일보",2022-02-03,2022-02-04
"11",8843,"리얼미터","오마이뉴스",2022-02-02,2022-02-04
"12",8838,"PNR·피플네트웍스","프라임경제신문",2022-02-02,2022-02-03
"13",8837,"리서치뷰","UPI뉴스",2022-02-01,2022-02-03
"14",8828,"서던포스트","CBS",2022-01-28,2022-01-29
